date,store_id,sku_id,opening_stock
2026-08-01,LKO01,SKU001,106
2026-08-01,LKO01,SKU002,80
2026-08-01,LKO01,SKU003,151
2026-08-01,LKO01,SKU004,136
2026-08-01,LKO01,SKU005,103
2026-08-01,LKO01,SKU006,140
2026-08-01,LKO01,SKU007,153
2026-08-01,LKO01,SKU008,94
2026-08-01,LKO01,SKU009,83
2026-08-01,LKO01,SKU010,102
2026-08-01,LKO01,SKU011,116
2026-08-01,LKO01,SKU012,83
2026-08-01,LKO01,SKU013,111
2026-08-01,LKO01,SKU014,107
2026-08-01,LKO01,SKU015,70
2026-08-01,LKO01,SKU016,147
2026-08-01,LKO01,SKU017,143
2026-08-01,LKO01,SKU018,89
2026-08-02,LKO01,SKU001,43
2026-08-02,LKO01,SKU002,36
2026-08-02,LKO01,SKU003,43
2026-08-02,LKO01,SKU004,18
2026-08-02,LKO01,SKU005,28
2026-08-02,LKO01,SKU006,15
2026-08-02,LKO01,SKU007,28
2026-08-02,LKO01,SKU008,30
2026-08-02,LKO01,SKU009,36
2026-08-02,LKO01,SKU010,28
2026-08-02,LKO01,SKU011,85
2026-08-02,LKO01,SKU012,34
2026-08-02,LKO01,SKU013,62
2026-08-02,LKO01,SKU014,71
2026-08-02,LKO01,SKU015,50
2026-08-02,LKO01,SKU016,156
2026-08-02,LKO01,SKU017,158
2026-08-02,LKO01,SKU018,97
2026-08-03,LKO01,SKU001,29
2026-08-03,LKO01,SKU002,43
2026-08-03,LKO01,SKU003,35
2026-08-03,LKO01,SKU004,25
2026-08-03,LKO01,SKU005,40
2026-08-03,LKO01,SKU006,42
2026-08-03,LKO01,SKU007,30
2026-08-03,LKO01,SKU008,39
2026-08-03,LKO01,SKU009,36
2026-08-03,LKO01,SKU010,42
2026-08-03,LKO01,SKU011,41
2026-08-03,LKO01,SKU012,38
2026-08-03,LKO01,SKU013,44
2026-08-03,LKO01,SKU014,46
2026-08-03,LKO01,SKU015,60
2026-08-03,LKO01,SKU016,185
2026-08-03,LKO01,SKU017,171
2026-08-03,LKO01,SKU018,118
2026-08-04,LKO01,SKU001,32
2026-08-04,LKO01,SKU002,43
2026-08-04,LKO01,SKU003,15
2026-08-04,LKO01,SKU004,34
2026-08-04,LKO01,SKU005,35
2026-08-04,LKO01,SKU006,43
2026-08-04,LKO01,SKU007,20
2026-08-04,LKO01,SKU008,19
2026-08-04,LKO01,SKU009,15
2026-08-04,LKO01,SKU010,33
2026-08-04,LKO01,SKU011,15
2026-08-04,LKO01,SKU012,41
2026-08-04,LKO01,SKU013,35
2026-08-04,LKO01,SKU014,41
2026-08-04,LKO01,SKU015,59
2026-08-04,LKO01,SKU016,205
2026-08-04,LKO01,SKU017,193
2026-08-04,LKO01,SKU018,146
2026-08-05,LKO01,SKU001,24
2026-08-05,LKO01,SKU002,16
2026-08-05,LKO01,SKU003,23
2026-08-05,LKO01,SKU004,38
2026-08-05,LKO01,SKU005,37
2026-08-05,LKO01,SKU006,17
2026-08-05,LKO01,SKU007,32
2026-08-05,LKO01,SKU008,21
2026-08-05,LKO01,SKU009,29
2026-08-05,LKO01,SKU010,35
2026-08-05,LKO01,SKU011,36
2026-08-05,LKO01,SKU012,34
2026-08-05,LKO01,SKU013,36
2026-08-05,LKO01,SKU014,41
2026-08-05,LKO01,SKU015,50
2026-08-05,LKO01,SKU016,239
2026-08-05,LKO01,SKU017,225
2026-08-05,LKO01,SKU018,174
2026-08-06,LKO01,SKU001,42
2026-08-06,LKO01,SKU002,26
2026-08-06,LKO01,SKU003,24
2026-08-06,LKO01,SKU004,32
2026-08-06,LKO01,SKU005,32
2026-08-06,LKO01,SKU006,18
2026-08-06,LKO01,SKU007,23
2026-08-06,LKO01,SKU008,21
2026-08-06,LKO01,SKU009,32
2026-08-06,LKO01,SKU010,22
2026-08-06,LKO01,SKU011,25
2026-08-06,LKO01,SKU012,21
2026-08-06,LKO01,SKU013,23
2026-08-06,LKO01,SKU014,31
2026-08-06,LKO01,SKU015,39
2026-08-06,LKO01,SKU016,266
2026-08-06,LKO01,SKU017,226
2026-08-06,LKO01,SKU018,192
2026-08-07,LKO01,SKU001,21
2026-08-07,LKO01,SKU002,35
2026-08-07,LKO01,SKU003,35
2026-08-07,LKO01,SKU004,44
2026-08-07,LKO01,SKU005,19
2026-08-07,LKO01,SKU006,37
2026-08-07,LKO01,SKU007,39
2026-08-07,LKO01,SKU008,41
2026-08-07,LKO01,SKU009,38
2026-08-07,LKO01,SKU010,36
2026-08-07,LKO01,SKU011,21
2026-08-07,LKO01,SKU012,39
2026-08-07,LKO01,SKU013,44
2026-08-07,LKO01,SKU014,41
2026-08-07,LKO01,SKU015,49
2026-08-07,LKO01,SKU016,288
2026-08-07,LKO01,SKU017,223
2026-08-07,LKO01,SKU018,225
2026-08-08,LKO01,SKU001,34
2026-08-08,LKO01,SKU002,42
2026-08-08,LKO01,SKU003,39
2026-08-08,LKO01,SKU004,25
2026-08-08,LKO01,SKU005,33
2026-08-08,LKO01,SKU006,42
2026-08-08,LKO01,SKU007,15
2026-08-08,LKO01,SKU008,41
2026-08-08,LKO01,SKU009,19
2026-08-08,LKO01,SKU010,24
2026-08-08,LKO01,SKU011,24
2026-08-08,LKO01,SKU012,28
2026-08-08,LKO01,SKU013,17
2026-08-08,LKO01,SKU014,32
2026-08-08,LKO01,SKU015,32
2026-08-08,LKO01,SKU016,312
2026-08-08,LKO01,SKU017,240
2026-08-08,LKO01,SKU018,247
2026-08-09,LKO01,SKU001,22
2026-08-09,LKO01,SKU002,33
2026-08-09,LKO01,SKU003,43
2026-08-09,LKO01,SKU004,23
2026-08-09,LKO01,SKU005,25
2026-08-09,LKO01,SKU006,27
2026-08-09,LKO01,SKU007,27
2026-08-09,LKO01,SKU008,41
2026-08-09,LKO01,SKU009,38
2026-08-09,LKO01,SKU010,33
2026-08-09,LKO01,SKU011,40
2026-08-09,LKO01,SKU012,35
2026-08-09,LKO01,SKU013,33
2026-08-09,LKO01,SKU014,19
2026-08-09,LKO01,SKU015,30
2026-08-09,LKO01,SKU016,326
2026-08-09,LKO01,SKU017,257
2026-08-09,LKO01,SKU018,262
2026-08-10,LKO01,SKU001,30
2026-08-10,LKO01,SKU002,33
2026-08-10,LKO01,SKU003,25
2026-08-10,LKO01,SKU004,35
2026-08-10,LKO01,SKU005,29
2026-08-10,LKO01,SKU006,40
2026-08-10,LKO01,SKU007,38
2026-08-10,LKO01,SKU008,23
2026-08-10,LKO01,SKU009,38
2026-08-10,LKO01,SKU010,33
2026-08-10,LKO01,SKU011,39
2026-08-10,LKO01,SKU012,33
2026-08-10,LKO01,SKU013,38
2026-08-10,LKO01,SKU014,40
2026-08-10,LKO01,SKU015,26
2026-08-10,LKO01,SKU016,351
2026-08-10,LKO01,SKU017,261
2026-08-10,LKO01,SKU018,275
2026-08-11,LKO01,SKU001,33
2026-08-11,LKO01,SKU002,36
2026-08-11,LKO01,SKU003,33
2026-08-11,LKO01,SKU004,25
2026-08-11,LKO01,SKU005,41
2026-08-11,LKO01,SKU006,22
2026-08-11,LKO01,SKU007,19
2026-08-11,LKO01,SKU008,34
2026-08-11,LKO01,SKU009,23
2026-08-11,LKO01,SKU010,29
2026-08-11,LKO01,SKU011,35
2026-08-11,LKO01,SKU012,42
2026-08-11,LKO01,SKU013,28
2026-08-11,LKO01,SKU014,19
2026-08-11,LKO01,SKU015,40
2026-08-11,LKO01,SKU016,383
2026-08-11,LKO01,SKU017,264
2026-08-11,LKO01,SKU018,298
2026-08-12,LKO01,SKU001,39
2026-08-12,LKO01,SKU002,35
2026-08-12,LKO01,SKU003,17
2026-08-12,LKO01,SKU004,20
2026-08-12,LKO01,SKU005,19
2026-08-12,LKO01,SKU006,31
2026-08-12,LKO01,SKU007,32
2026-08-12,LKO01,SKU008,26
2026-08-12,LKO01,SKU009,19
2026-08-12,LKO01,SKU010,44
2026-08-12,LKO01,SKU011,23
2026-08-12,LKO01,SKU012,26
2026-08-12,LKO01,SKU013,34
2026-08-12,LKO01,SKU014,23
2026-08-12,LKO01,SKU015,28
2026-08-12,LKO01,SKU016,392
2026-08-12,LKO01,SKU017,277
2026-08-12,LKO01,SKU018,322
2026-08-13,LKO01,SKU001,18
2026-08-13,LKO01,SKU002,15
2026-08-13,LKO01,SKU003,25
2026-08-13,LKO01,SKU004,44
2026-08-13,LKO01,SKU005,19
2026-08-13,LKO01,SKU006,33
2026-08-13,LKO01,SKU007,33
2026-08-13,LKO01,SKU008,18
2026-08-13,LKO01,SKU009,16
2026-08-13,LKO01,SKU010,21
2026-08-13,LKO01,SKU011,42
2026-08-13,LKO01,SKU012,27
2026-08-13,LKO01,SKU013,44
2026-08-13,LKO01,SKU014,35
2026-08-13,LKO01,SKU015,36
2026-08-13,LKO01,SKU016,435
2026-08-13,LKO01,SKU017,269
2026-08-13,LKO01,SKU018,353
2026-08-14,LKO01,SKU001,33
2026-08-14,LKO01,SKU002,36
2026-08-14,LKO01,SKU003,18
2026-08-14,LKO01,SKU004,22
2026-08-14,LKO01,SKU005,28
2026-08-14,LKO01,SKU006,34
2026-08-14,LKO01,SKU007,38
2026-08-14,LKO01,SKU008,28
2026-08-14,LKO01,SKU009,42
2026-08-14,LKO01,SKU010,30
2026-08-14,LKO01,SKU011,36
2026-08-14,LKO01,SKU012,26
2026-08-14,LKO01,SKU013,33
2026-08-14,LKO01,SKU014,34
2026-08-14,LKO01,SKU015,43
2026-08-14,LKO01,SKU016,448
2026-08-14,LKO01,SKU017,273
2026-08-14,LKO01,SKU018,390
2026-08-15,LKO01,SKU001,33
2026-08-15,LKO01,SKU002,43
2026-08-15,LKO01,SKU003,25
2026-08-15,LKO01,SKU004,29
2026-08-15,LKO01,SKU005,29
2026-08-15,LKO01,SKU006,20
2026-08-15,LKO01,SKU007,29
2026-08-15,LKO01,SKU008,43
2026-08-15,LKO01,SKU009,23
2026-08-15,LKO01,SKU010,19
2026-08-15,LKO01,SKU011,39
2026-08-15,LKO01,SKU012,38
2026-08-15,LKO01,SKU013,43
2026-08-15,LKO01,SKU014,48
2026-08-15,LKO01,SKU015,59
2026-08-15,LKO01,SKU016,459
2026-08-15,LKO01,SKU017,292
2026-08-15,LKO01,SKU018,408
2026-08-16,LKO01,SKU001,29
2026-08-16,LKO01,SKU002,30
2026-08-16,LKO01,SKU003,34
2026-08-16,LKO01,SKU004,17
2026-08-16,LKO01,SKU005,41
2026-08-16,LKO01,SKU006,19
2026-08-16,LKO01,SKU007,17
2026-08-16,LKO01,SKU008,41
2026-08-16,LKO01,SKU009,42
2026-08-16,LKO01,SKU010,16
2026-08-16,LKO01,SKU011,16
2026-08-16,LKO01,SKU012,18
2026-08-16,LKO01,SKU013,17
2026-08-16,LKO01,SKU014,41
2026-08-16,LKO01,SKU015,70
2026-08-16,LKO01,SKU016,490
2026-08-16,LKO01,SKU017,305
2026-08-16,LKO01,SKU018,438
2026-08-17,LKO01,SKU001,26
2026-08-17,LKO01,SKU002,22
2026-08-17,LKO01,SKU003,36
2026-08-17,LKO01,SKU004,36
